# Column 1 = Input data size
# Column 2 = Min chain length for HashTableCollection
# Column 3 = Max chain length for HashTableCollection
# Column 4 = Avg chain length for HashTableCollection

0 0 0 0.00
1024 54 77 1.00
2048 108 156 1.00
3072 164 220 1.00
4096 222 283 1.00
5120 285 350 1.00
6144 359 416 1.00
7168 418 481 1.00
8192 477 544 1.00
9216 543 609 1.00
10240 594 672 1.00
11264 650 739 1.00
12288 711 799 1.00
13312 777 868 1.00
14336 826 937 1.00
15360 887 1000 1.00
16384 936 1069 1.00
17408 993 1153 1.00
18432 1056 1209 1.00
19456 1111 1282 1.00
20480 1177 1358 1.00
21504 1237 1419 1.00
22528 1290 1474 1.00
23552 1361 1552 1.00
24576 1426 1621 1.00
25600 1490 1690 1.00
26624 1561 1748 1.00
27648 1616 1817 1.00
28672 1680 1882 1.00
29696 1742 1946 1.00
30720 1805 2034 1.00
31744 1864 2096 1.00
32768 1934 2172 1.00
33792 1999 2225 1.00
34816 2073 2287 1.00
